job_id,title,company,location,country,category,experience_level,work_type,salary_min,salary_max,salary_currency,description,posted_date,source
JOB-00001,Junior Analytics Engineer,CloudNova Systems,London,United Kingdom,Analytics Engineer,Junior,Remote,50905,65184,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with aws, azure, data warehouse, dbt, git, kubernetes, pinecone, python, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-11,synthetic_stage_1
JOB-00002,Junior Data Analyst,UrbanData Studio,Edinburgh,United Kingdom,Data Analyst,Junior,Hybrid,36757,44431,GBP,"You will deliver dashboards, reporting pipelines and business insight for stakeholders. The role requires experience with excel, gcp, github actions, kubernetes, linux, power bi, python, sql, statistics. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-01,synthetic_stage_1
JOB-00003,Mid Level Machine Learning Engineer,CloudNova Systems,Birmingham,United Kingdom,Machine Learning Engineer,Mid Level,Remote,65962,81421,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with databricks, fastapi, mlflow, mongodb, pinecone, python, pytorch, tensorflow. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2025-12-27,synthetic_stage_1
JOB-00004,Mid Level Analytics Engineer,CloudNova Systems,London,United Kingdom,Analytics Engineer,Mid Level,Remote,60910,70342,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with chromadb, dbt, etl, gcp, git, linux, mongodb, snowflake, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-28,synthetic_stage_1
JOB-00005,Junior Data Engineer,CloudNova Systems,Manchester,United Kingdom,Data Engineer,Junior,Hybrid,48876,55401,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with azure, chromadb, data warehouse, etl, pinecone, postgresql, spark, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-27,synthetic_stage_1
JOB-00006,Mid Level Machine Learning Engineer,FinEdge AI,Newcastle,United Kingdom,Machine Learning Engineer,Mid Level,Remote,67598,82428,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with docker, fastapi, gcp, kubernetes, machine learning, mlflow, mysql, pytorch. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-14,synthetic_stage_1
JOB-00007,Mid Level Analytics Engineer,TalentSphere,Leeds,United Kingdom,Analytics Engineer,Mid Level,Remote,63140,71761,GBP,"You will transform data into trusted analytics models and maintain the semantic layer. The role requires experience with dbt, gcp, git, python, snowflake, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-05-01,synthetic_stage_1
JOB-00008,Senior Machine Learning Engineer,TalentSphere,Newcastle,United Kingdom,Machine Learning Engineer,Senior,Onsite,81398,91769,GBP,"You will deploy machine learning models and build production inference services. The role requires experience with deep learning, docker, fastapi, mongodb, python, tensorflow. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-21,synthetic_stage_1
JOB-00009,Junior Data Engineer,CloudNova Systems,Glasgow,United Kingdom,Data Engineer,Junior,Hybrid,52122,63011,GBP,"You will design data pipelines, transform raw data and maintain data platforms. The role requires experience with data warehouse, pinecone, postgresql, python, spark, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-04-20,synthetic_stage_1
JOB-00010,Mid Level BI Analyst,TalentSphere,Edinburgh,United Kingdom,BI Analyst,Mid Level,Remote,46961,53910,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with aws, azure, data modelling, github actions, linux, power bi, sql, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-08,synthetic_stage_1
JOB-00011,Entry Level BI Analyst,CloudNova Systems,Newcastle,United Kingdom,BI Analyst,Entry Level,Onsite,32735,47570,GBP,"You will create business intelligence reports and support performance tracking. The role requires experience with a/b testing, bash, databricks, excel, power bi, sql, statistics, tableau. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-05-03,synthetic_stage_1
JOB-00012,Senior Data Scientist,FinEdge AI,Leeds,United Kingdom,Data Scientist,Senior,Onsite,68885,84526,GBP,"You will build predictive models, analyse complex datasets and communicate insights. The role requires experience with a/b testing, azure, databricks, forecasting, numpy, pandas, python, sql. You will work with cross-functional teams, document requirements, improve data quality, and turn business problems into reliable data products.",2026-01-03,synthetic_stage_1
